<video_id>AXDOV8bThRQ</video_id>	JJ	<video_id>AXDOV8bThRQ</video_id>
<video_title>Denouncement	NN	<video_title>Denouncement
of	IN	of
deliberate	JJ	deliberate
attacks	NNS	attack
on	IN	on
humanitarian	JJ	humanitarian
workers	NNS	worker
in	IN	in
Gaza</video_title>	NP	Gaza</video_title>
<thumbnail_path>data/en_AJ\Denouncement	NN	<thumbnail_path>data/en_AJ\Denouncement
of	IN	of
deliberate	JJ	deliberate
attacks	NNS	attack
on	IN	on
humanitarian	JJ	humanitarian
workers	NNS	worker
in	IN	in
Gaza.jpg</thumbnail_path>	NP	Gaza.jpg</thumbnail_path>
<publish_date>20240403</publish_date>	NP	<publish_date>20240403</publish_date>
<doc>	NP	<doc>
Chris	NP	Chris
gunnis	NP	gunnis
is	VBZ	be
a	DT	a
former	JJ	former
unra	NN	unra
spokesman	NN	spokesman
and	CC	and
joins	VVZ	join
us	PP	us
now	RB	now
from	IN	from
London	NP	London
Chris	NP	Chris
unra	NP	unra
is	VBZ	be
sadly	RB	sadly
no	DT	no
stranger	NN	stranger
to	TO	to
its	PP$	its
workers	NNS	worker
being	VBG	be
targeted	VVN	target
and	CC	and
killed	VVN	kill
by	IN	by
Israeli	JJ	Israeli
attacks	NNS	attack
in	IN	in
this	DT	this
war	NN	war
indeed	RB	indeed
over7	JJ	over7
unra	NN	unra
workers	NNS	worker
have	VHP	have
died	VVN	die
and	CC	and
to	TO	to
be	VB	be
clear	JJ	clear
about	IN	about
what	WP	what
happened	VVD	happen
with	IN	with
the	DT	the
world	NN	world
Central	NP	Central
Kitchen	NP	Kitchen
staff	NN	staff
this	DT	this
was	VBD	be
a	DT	a
deliberate	JJ	deliberate
calculated	JJ	calculated
premeditated	VVN	premeditate
Massacre	NN	massacre
of	IN	of
innocent	JJ	innocent
humanitarian	JJ	humanitarian
workers	NNS	worker
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
had	VHD	have
been	VBN	be
told	VVN	tell
of	IN	of
the	DT	the
exact	JJ	exact
route	NN	route
in	IN	in
fact	NN	fact
they	PP	they
helped	VVD	help
established	VVN	establish
the	DT	the
exact	JJ	exact
route	NN	route
that	IN/that	that
these	DT	these
workers	NNS	worker
were	VBD	be
driving	VVG	drive
along	IN	along
the	DT	the
uh	UH	uh
Convoy	NN	convoy
itself	PP	itself
had	VHD	have
been	VBN	be
coordinated	VVN	coordinate
with	IN	with
the	DT	the
Israeli	JJ	Israeli
army	NN	army
they	PP	they
knew	VVD	know
the	DT	the
exact	JJ	exact
GPS	NP	GPS
coordinates	VVZ	coordinate
inch	NN	inch
by	IN	by
inch	NN	inch
of	IN	of
the	DT	the
route	NN	route
that	IN/that	that
these	DT	these
workers	NNS	worker
were	VBD	be
traveling	VVG	travel
along	RB	along
and	CC	and
what	WP	what
we	PP	we
saw	VVD	see
is	VBZ	be
not	RB	not
one	CD	one
not	RB	not
two	CD	two
but	CC	but
three	CD	three
deliberate	JJ	deliberate
attacks	NNS	attack
or	CC	or
so	RB	so
it	PP	it
appears	VVZ	appear
and	CC	and
I	PP	I
hope	VVP	hope
that	IN/that	that
these	DT	these
attacks	NNS	attack
are	VBP	be
investigated	VVN	investigate
and	CC	and
that	IN/that	that
there	EX	there
is	VBZ	be
a	DT	a
full	JJ	full
and	CC	and
transparent	JJ	transparent
investigation	NN	investigation
not	RB	not
by	IN	by
the	DT	the
IDF	NP	IDF
not	RB	not
by	IN	by
the	DT	the
Israeli	JJ	Israeli
Army	NN	army
because	IN	because
for	IN	for
years	NNS	year
we've	VVP	we've
seen	VVN	see
attacks	NNS	attack
on	IN	on
humanitarian	JJ	humanitarian
workers	NNS	worker
in	IN	in
Gaza	NP	Gaza
not	RB	not
just	RB	just
unra	NN	unra
un	NN	un
workers	NNS	worker
but	CC	but
others	NNS	other
and	CC	and
we've	NN	we've
never	RB	never
seen	VVN	see
any	DT	any
proper	JJ	proper
criminal	JJ	criminal
individual	JJ	individual
criminal	JJ	criminal
liability	NN	liability
accountability	NN	accountability
for	IN	for
these	DT	these
attacks	NNS	attack
and	CC	and
I	PP	I
hope	VVP	hope
that	IN/that	that
the	DT	the
world	NN	world
Central	NP	Central
Kitchen	NP	Kitchen
will	MD	will
press	VV	press
with	IN	with
its	PP$	its
contacts	NNS	contact
in	IN	in
Washington	NP	Washington
because	IN	because
the	DT	the
world	NN	world
is	VBZ	be
revulsed	VVN	revulsed
by	IN	by
this	DT	this
and	CC	and
as	IN	as
I	PP	I
say	VVP	say
170	CD	@card@
plus	NN	plus
unra	NN	unra
workers	NNS	worker
have	VHP	have
been	VBN	be
killed	VVN	kill
there	RB	there
must	MD	must
be	VB	be
full	JJ	full
accountability	NN	accountability
for	IN	for
their	PP$	their
killing	NN	killing
also	RB	also
for	IN	for
too	RB	too
long	RB	long
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
has	VHZ	have
got	VVN	get
