<video_id>CyaNhVpJhqk</video_id>	NP	<video_id>CyaNhVpJhqk</video_id>
<video_title>Will	NP	<video_title>Will
Israel	NP	Israel
accept	VV	accept
Hamas	NP	Hamas
&	CC	&
Islamic	NP	Islamic
Jihad's	NP	Jihad's
new	JJ	new
amendments,	NN	amendments,
including	VVG	include
withdrawal	NN	withdrawal
from	IN	from
Rafah	NP	Rafah
crossing?</video_title>	NP	crossing?</video_title>
<thumbnail_path>data/en_AJ\Will	NP	<thumbnail_path>data/en_AJ\Will
Israel	NP	Israel
accept	VV	accept
Hamas	NP	Hamas
&	CC	&
Islamic	NP	Islamic
Jihad's	NP	Jihad's
new	JJ	new
amendments,	NN	amendments,
including	VVG	include
withdrawal	NN	withdrawal
from	IN	from
Rafah	NP	Rafah
crossing.jpg</thumbnail_path>	JJ	crossing.jpg</thumbnail_path>
<publish_date>20240611</publish_date>	NN	<publish_date>20240611</publish_date>
<doc>	NN	<doc>
now	RB	now
to	TO	to
Imran	NP	Imran
Khan	NP	Khan
who's	NNS	who's
over	IN	over
in	IN	in
the	DT	the
Jordanian	JJ	Jordanian
Capital	NP	Capital
Aman	NP	Aman
and	CC	and
Imran	NP	Imran
of	IN	of
course	NN	course
these	DT	these
developments	NNS	development
are	VBP	be
just	RB	just
coming	VVG	come
through	IN	through
to	TO	to
us	PP	us
in	IN	in
the	DT	the
past	JJ	past
uh	UH	uh
45	CD	@card@
minutes	NNS	minute
or	CC	or
to	TO	to
or	CC	or
so	RB	so
talk	VV	talk
us	PP	us
through	IN	through
what	WP	what
we	PP	we
know	VVP	know
so	RB	so
far	RB	far
about	IN	about
hamas's	NN	hamas's
response	NN	response
well	RB	well
what	WP	what
Hamas	NNS	Hamas
have	VHP	have
told	VVN	tell
Al	NP	Al
jazer	NN	jazer
is	VBZ	be
there	EX	there
are	VBP	be
amendments	NNS	amendment
they	PP	they
want	VVP	want
to	TO	to
the	DT	the
ceasefire	NN	ceasefire
proposal	NN	proposal
firstly	RB	firstly
uh	UH	uh
what	WP	what
they're	NN	they're
saying	VVG	say
is	VBZ	be
they	PP	they
want	VVP	want
a	DT	a
complete	JJ	complete
withdrawal	NN	withdrawal
from	IN	from
the	DT	the
entire	JJ	entire
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
that	DT	that
includes	VVZ	include
uh	UH	uh
the	DT	the
Rafa	NP	Rafa
Crossing	NN	crossing
and	CC	and
the	DT	the
Philadelphia	NP	Philadelphia
Corridor	NP	Corridor
the	DT	the
Philadelphia	NP	Philadelphia
Corridor	NP	Corridor
is	VBZ	be
basically	RB	basically
the	DT	the
border	NN	border
between	IN	between
Egypt	NP	Egypt
and	CC	and
uh	UH	uh
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
now	RB	now
uh	UH	uh
that	WDT	that
was	VBD	be
delivered	VVN	deliver
by	IN	by
uh	UH	uh
is	VBZ	be
Hanah	NP	Hanah
