<	SYM	<
doc	NN	doc
>	SYM	>
well	RB	well
let	VV	let
'	''	'
s	NNS	s
bring	VVP	bring
in	IN	in
now	RB	now
Sophie	NP	Sophie
or	CC	or
Sophie	NP	Sophie
is	VBZ	be
supposed	VVN	suppose
to	TO	to
enlist	VV	enlist
in	IN	in
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
but	CC	but
is	VBZ	be
refusing	VVG	refuse
to	TO	to
do	VV	do
so	IN	so
she	PP	she
joins	VVZ	join
us	PP	us
from	IN	from
parades	NNS	parade
Hannah	NP	Hannah
in	IN	in
Israel	NP	Israel
good	JJ	good
to	TO	to
have	VH	have
you	PP	you
with	IN	with
us	PP	us
so	RB	so
first	JJ	first
of	IN	of
all	DT	all
let	NN	let
me	PP	me
ask	VVP	ask
you	PP	you
why	WRB	why
did	VVD	do
you	PP	you
take	VV	take
the	DT	the
decision	NN	decision
that	IN/that	that
to	TO	to
refuse	VV	refuse
to	TO	to
enlist	VV	enlist
well	RB	well
I	PP	I
made	VVD	make
the	DT	the
decision	NN	decision
to	TO	to
refuse	VV	refuse
Before	IN	before
the	DT	the
War	NN	war
I	PP	I
made	VVD	make
that	DT	that
decision	NN	decision
because	IN	because
I	PP	I
refused	VVD	refuse
to	TO	to
take	VV	take
part	NN	part
in	IN	in
the	DT	the
idf	NN	idf
'	POS	'
s	JJ	s
violent	JJ	violent
policies	NNS	policy
of	IN	of
Oppression	NN	oppression
and	CC	and
apartheid	NN	apartheid
and	CC	and
to	TO	to
be	VB	be
part	NN	part
of	IN	of
this	DT	this
endless	JJ	endless
cycle	NN	cycle
of	IN	of
Bloodshed	NN	bloodshed
I	PP	I
choose	VVP	choose
to	TO	to
refuse	VV	refuse
because	IN	because
there	EX	there
is	VBZ	be
no	DT	no
military	JJ	military
solution	NN	solution
to	TO	to
a	DT	a
political	JJ	political
problem	NN	problem
and	CC	and
now	RB	now
with	IN	with
the	DT	the
war	NN	war
that	WDT	that
has	VHZ	have
become	VVN	become
more	RBR	more
apparent	JJ	apparent
than	IN	than
ever	RB	ever
and	CC	and
so	RB	so
my	PP$	my
refusal	NN	refusal
is	VBZ	be
more	RBR	more
important	JJ	important
to	TO	to
me	PP	me
than	IN	than
ever	RB	ever
and	CC	and
I	PP	I
choose	VVP	choose
to	TO	to
refuse	VV	refuse
in	IN	in
a	DT	a
very	RB	very
public	JJ	public
way	NN	way
in	IN	in
hope	NN	hope
to	TO	to
reach	VV	reach
the	DT	the
Israeli	NP	Israeli
Society	NP	Society
especially	RB	especially
young	JJ	young
people	NNS	people
to	TO	to
show	VV	show
them	PP	them
that	IN/that	that
refusing	NN	refusing
is	VBZ	be
an	DT	an
option	NN	option
and	CC	and
that	IN/that	that
peace	NN	peace
is	VBZ	be
an	DT	an
option	NN	option
the	DT	the
only	JJ	only
option	NN	option
because	IN	because
there	EX	there
are	VBP	be
7even	JJ	7even
million	CD	million
Palestinians	NNS	Palestinian
here	RB	here
and	CC	and
7	CD	@card@
million	CD	million
Israeli	JJ	Israeli
Jews	NNS	jew
here	RB	here
and	CC	and
no	RB	no
one	PP	one
is	VBZ	be
going	VVG	go
anywhere	RB	anywhere
are	VBP	be
you	PP	you
worried	VVN	worry
about	RB	about
how	WRB	how
receptive	JJ	receptive
the	DT	the
public	NN	public
will	MD	will
be	VB	be
to	TO	to
your	PP$	your
message	NN	message
given	VVN	give
the	DT	the
militarization	NN	militarization
of	IN	of
society	NN	society
given	VVN	give
the	DT	the
push	NN	push
to	TO	to
the	DT	the
right	NN	right
that	RB	that
'	POS	'
s	JJ	s
going	NN	going
on	IN	on
uh	UH	uh
indeed	RB	indeed
Israeli	NP	Israeli
Society	NP	Society
is	VBZ	be
an	DT	an
extremely	RB	extremely
militaristic	JJ	militaristic
one	CD	one
and	CC	and
refusing	NN	refusing
is	VBZ	be
absolutely	RB	absolutely
not	RB	not
an	DT	an
accepted	JJ	accepted
thing	NN	thing
and	CC	and
I	PP	I
am	VBP	be
called	VVN	call
The	DT	the
Traitor	NN	traitor
a	DT	a
self	JJ	self
-	NN	-
hating	VVG	hate
Jew	NP	Jew
I	PP	I
get	VVP	get
wishes	NNS	wish
for	IN	for
me	PP	me
to	TO	to
be	VB	be
raped	VVN	rape
or	CC	or
killed	VVN	kill
and	CC	and
since	IN	since
the	DT	the
war	NN	war
started	VVD	start
it	PP	it
has	VHZ	have
gotten	VVN	get
worse	JJR	bad
there	EX	there
has	VHZ	have
been	VBN	be
a	DT	a
shift	NN	shift
to	TO	to
the	DT	the
right	NN	right
and	CC	and
the	DT	the
right	NN	right
was	VBD	be
already	RB	already
strong	JJ	strong
and	CC	and
there	EX	there
also	RB	also
was	VBD	be
been	VBN	be
a	DT	a
repression	NN	repression
of	IN	of
activists	NNS	activist
in	IN	in
the	DT	the
radical	JJ	radical
left	NN	left
especially	RB	especially
H	NP	H
Palestinians	NPS	Palestinians
with	IN	with
Israeli	JJ	Israeli
citizenship	NN	citizenship
but	CC	but
also	RB	also
Israeli	JJ	Israeli
Jews	NNS	jew
so	IN	so
I	PP	I
am	VBP	be
worried	VVN	worry
but	CC	but
it	PP	it
'	POS	'
s	JJ	s
worth	NN	worth
it	PP	it
because	RB	because
even	RB	even
if	IN	if
only	RB	only
one	CD	one
person	NN	person
is	VBZ	be
going	VVG	go
to	TO	to
hear	VV	hear
my	PP$	my
words	NNS	word
and	CC	and
they	PP	they
will	MD	will
make	VV	make
them	PP	them
think	VVP	think
then	RB	then
it	PP	it
'	POS	'
s	JJ	s
worth	NN	worth
it	PP	it
and	CC	and
I	PP	I
'	POS	'
m	NN	m
willing	JJ	willing
to	TO	to
to	TO	to
endure	VV	endure
the	DT	the
consequences	NNS	consequence
of	IN	of
that	DT	that
given	VVN	give
everything	NN	everything
you	PP	you
'	POS	'
ve	NN	ve
just	RB	just
said	VVD	say
and	CC	and
the	DT	the
sort	NN	sort
of	IN	of
calls	NNS	call
that	IN/that	that
you	PP	you
'	''	'
re	IN	re
facing	VVG	face
it	PP	it
must	MD	must
take	VV	take
a	DT	a
lot	NN	lot
of	IN	of
conviction	NN	conviction
to	TO	to
take	VV	take
the	DT	the
position	NN	position
you	PP	you
'	POS	'
ve	NN	ve
taken	VVN	take
How	WRB	how
concerned	JJ	concerned
are	VBP	be
you	PP	you
about	IN	about
the	DT	the
prospect	NN	prospect
of	IN	of
facing	VVG	face
almost	RB	almost
an	DT	an
endless	JJ	endless
cycle	NN	cycle
of	IN	of
Court	NP	Court
appearances	NNS	appearance
and	CC	and
jail	NN	jail
terms	NNS	term
right	RB	right
that	RB	that
'	''	'
s	NNS	s
what	WP	what
you	PP	you
could	MD	could
be	VB	be
looking	VVG	look
at	IN	at
uh	UH	uh
I	PP	I
am	VBP	be
concerned	VVN	concern
of	IN	of
course	NN	course
it	PP	it
'	POS	'
s	NN	S
a	DT	a
scary	JJ	scary
experience	NN	experience
H	NN	H
but	CC	but
I	PP	I
do	VVP	do
have	VH	have
the	DT	the
support	NN	support
of	IN	of
the	DT	the
MV	NP	MV
Network	NP	Network
which	WDT	which
also	RB	also
supports	VVZ	support
stal	JJ	stal
mnik	NN	mnik
that	WDT	that
was	VBD	be
just	RB	just
sent	VVN	send
to	TO	to
prison	NN	prison
and	CC	and
they	PP	they
accompany	VVP	accompany
us	PP	us
on	IN	on
this	DT	this
process	NN	process
and	CC	and
it	PP	it
does	VVZ	do
help	VV	help
a	DT	a
lot	NN	lot
but	CC	but
of	IN	of
course	NN	course
it	PP	it
'	POS	'
s	JJ	s
scary	JJ	scary
and	CC	and
we	PP	we
I	PP	I
don	VVP	don
'	''	'
t	NN	t
know	VVP	know
how	WRB	how
much	JJ	much
time	NN	time
and	CC	and
it	PP	it
can	MD	can
be	VB	be
different	JJ	different
now	RB	now
with	IN	with
the	DT	the
war	NN	war
because	IN	because
the	DT	the
political	JJ	political
sphere	NN	sphere
in	IN	in
Israel	NP	Israel
has	VHZ	have
changed	VVN	change
and	CC	and
gone	VVN	go
in	IN	in
a	DT	a
dramatic	JJ	dramatic
shift	VV	shift
uh	UH	uh
to	TO	to
the	DT	the
right	NN	right
but	CC	but
as	IN	as
I	PP	I
said	VVD	say
before	IN	before
I	PP	I
'	POS	'
m	NN	m
concerned	JJ	concerned
but	CC	but
it	PP	it
is	VBZ	be
worth	JJ	worth
it	PP	it
and	CC	and
I	PP	I
stand	VVP	stand
with	IN	with
my	PP$	my
decisions	NNS	decision
and	CC	and
my	PP$	my
morals	NNS	moral
all	RB	all
the	DT	the
way	NN	way
well	RB	well
since	IN	since
your	PP$	your
decision	NN	decision
of	IN	of
course	NN	course
that	IN/that	that
a	DT	a
war	NN	war
has	VHZ	have
started	VVN	start
and	CC	and
there	EX	there
have	VHP	have
been	VBN	be
reports	NNS	report
by	IN	by
multiple	JJ	multiple
Israeli	JJ	Israeli
as	RB	as
well	RB	well
