<video_id>barwZh5yF-c</video_id>	JJ	<video_id>barwZh5yF-c</video_id>
<video_title>Hamas	NN	<video_title>Hamas
spokesperson	NN	spokesperson
Hamdan:	NP	Hamdan:
‘Green	JJ	‘Green
light’	NN	light’
from	IN	from
US	NP	US
for	IN	for
hospital	NN	hospital
attack</video_title>	NN	attack</video_title>
<thumbnail_path>data/en_AJ\Hamas	NN	<thumbnail_path>data/en_AJ\Hamas
spokesperson	NN	spokesperson
Hamdan	NP	Hamdan
‘Green	JJ	‘Green
light’	NN	light’
from	IN	from
US	NP	US
for	IN	for
hospital	NN	hospital
attack.jpg</thumbnail_path>	NN	attack.jpg</thumbnail_path>
<publish_date>20231017</publish_date>	NN	<publish_date>20231017</publish_date>
<doc>	NN	<doc>
want	VVP	want
to	TO	to
bring	VV	bring
Russell	NP	Russell
s	NNS	s
in	IN	in
now	RB	now
he's	JJ	he's
alzer's	NNS	alzer's
senior	JJ	senior
correspondent	NN	correspondent
and	CC	and
you've	NN	you've
covered	VVD	cover
the	DT	the
Middle	NP	Middle
East	NP	East
extensively	RB	extensively
give	VV	give
us	PP	us
a	DT	a
sense	NN	sense
where	WRB	where
we're	NN	we're
at	IN	at
in	IN	in
terms	NNS	term
of	IN	of
this	DT	this
conflict	NN	conflict
compared	VVN	compare
to	TO	to
all	PDT	all
the	DT	the
other	JJ	other
conflicts	NNS	conflict
that	WDT	that
we've	VVP	we've
seen	VVN	see
just	RB	just
how	WRB	how
much	RB	much
has	VHZ	have
this	DT	this
escalated	VVD	escalate
well	RB	well
first	JJ	first
this	DT	this
is	VBZ	be
quite	RB	quite
different	JJ	different
did	VVD	do
this	DT	this
divers	NNS	diver
from	IN	from
the	DT	the
previous	JJ	previous
U	NP	U
Israeli	JJ	Israeli
attack	NN	attack
on	IN	on
Gaza	NP	Gaza
in	IN	in
terms	NNS	term
of	IN	of
its	PP$	its
scale	NN	scale
so	RB	so
now	RB	now
what	WP	what
we	PP	we
seeing	VVG	see
we're	NN	we're
simply	RB	simply
talking	VVG	talk
about	IN	about
the	DT	the
transfer	NN	transfer
of	IN	of
the	DT	the
population	NN	population
over	IN	over
2	CD	@card@
million	CD	million
people	NNS	people
this	DT	this
is	VBZ	be
that	IN/that	that
this	DT	this
is	VBZ	be
something	NN	something
that	WDT	that
has	VHZ	have
repeatedly	RB	repeatedly
been	VBN	be
uh	UH	uh
been	VBN	be
said	VVN	say
and	CC	and
publicly	RB	publicly
announced	VVN	announce
by	IN	by
many	JJ	many
of	IN	of
the	DT	the
Israeli	JJ	Israeli
officials	NNS	official
that	IN/that	that
they	PP	they
want	VVP	want
Egypt	NP	Egypt
to	TO	to
open	VV	open
up	RP	up
Rafa	NP	Rafa
border	NN	border
crossing	VVG	cross
not	RB	not
only	RB	only
for	IN	for
the	DT	the
humanitarian	JJ	humanitarian
Aid	NN	aid
to	TO	to
arrive	VV	arrive
indeed	RB	indeed
actually	RB	actually
for	IN	for
more	JJR	more
than	IN	than
1	CD	@card@
million	CD	million
Palestinians	NNS	Palestinian
to	TO	to
pass	VV	pass
through	IN	through
that	DT	that
Crossing	VVG	cross
border	NN	border
crossing	NN	crossing
and	CC	and
to	TO	to
siai	NNS	siai
so	RB	so
simply	RB	simply
they	PP	they
talking	VVG	talk
about	IN	about
the	DT	the
the	DT	the
the	DT	the
the	DT	the
the	DT	the
population	NN	population
transfer	VV	transfer
this	DT	this
is	VBZ	be
quite	RB	quite
a	DT	a
new	JJ	new
element	NN	element
in	IN	in
this	DT	this
sense	NN	sense
and	CC	and
