<video_id>fBvasyOhei4</video_id>	JJ	<video_id>fBvasyOhei4</video_id>
<video_title>'Bombing	NN	<video_title>'Bombing
all	RB	all
around	IN	around
us',	NP	us',
says	VVZ	say
Gaza’s	NP	Gaza’s
Nasser	NP	Nasser
Hospital	NP	Hospital
doctor</video_title>	NN	doctor</video_title>
<thumbnail_path>data/en_AJ\'Bombing	VVG	<thumbnail_path>data/en_AJ\'Bombing
all	DT	all
around	IN	around
us',	NP	us',
says	VVZ	say
Gaza’s	NP	Gaza’s
Nasser	NP	Nasser
Hospital	NP	Hospital
doctor.jpg</thumbnail_path>	JJ	doctor.jpg</thumbnail_path>
<publish_date>20240121</publish_date>	NN	<publish_date>20240121</publish_date>
<doc>	NN	<doc>
okay	RB	okay
well	RB	well
joining	VVG	join
us	PP	us
from	IN	from
KH	NP	KH
Unice	NP	Unice
is	VBZ	be
Dr	NP	Dr
Ahmed	NP	Ahmed
Al	NP	Al
mrai	NP	mrai
he's	NNS	he's
a	DT	a
head	NN	head
of	IN	of
plastic	JJ	plastic
surgery	NN	surgery
and	CC	and
the	DT	the
burns	NNS	burn
department	NN	department
at	IN	at
the	DT	the
AL	NP	al
NASA	NP	NASA
Hospital	NP	Hospital
uh	UH	uh
a	DT	a
very	RB	very
warm	JJ	warm
welcome	NN	welcome
to	TO	to
you	PP	you
so	RB	so
in	IN	in
the	DT	the
past	JJ	past
few	JJ	few
days	NNS	day
Israeli	JJ	Israeli
air	NN	air
strikes	NNS	strike
have	VH	have
been	VBN	be
Landing	NP	Landing
only	JJ	only
meters	NNS	meter
from	IN	from
the	DT	the
NASA	NP	NASA
hospital	NN	hospital
it	PP	it
is	VBZ	be
OB	NP	OB
we've	NN	we've
been	VBN	be
reporting	VVG	report
gaza's	NNS	gaza's
last	RB	last
remaining	VVG	remain
Hospital	NP	Hospital
how	WRB	how
would	MD	would
you	PP	you
describe	VV	describe
the	DT	the
situation	NN	situation
there	RB	there
now	RB	now
yeah	RB	yeah
uh	UH	uh
uh	UH	uh
thank	VV	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
interviewing	VVG	interview
me	PP	me
again	RB	again
uh	UH	uh
before	IN	before
we	PP	we
stting	VVG	stting
actually	RB	actually
recording	VVG	record
my	PP$	my
interview	NN	interview
we	PP	we
just	RB	just
had	VHD	have
here	RB	here
uh	UH	uh
they	PP	they
were	VBD	be
were	VBD	be
they	PP	they
were	VBD	be
bombing	VVG	bomb
all	RB	all
over	IN	over
around	IN	around
the	DT	the
the	DT	the
hospital	NN	hospital
I	PP	I
I	PP	I
guess	VVP	guess
you	PP	you
already	RB	already
seen	VVN	see
this	DT	this
bombing	VVG	bomb
yes	UH	yes
uh	UH	uh
the	DT	the
situation	NN	situation
here	RB	here
at	IN	at
NAS	NP	NAS
hospital	NN	hospital
now	RB	now
became	VVD	become
very	RB	very
difficult	JJ	difficult
as	IN	as
you	PP	you
know	VVP	know
many	JJ	many
of	IN	of
uh	UH	uh
evacuated	VVN	evacuate
people	NNS	people
already	RB	already
left	VVD	leave
the	DT	the
hospital	NN	hospital
and	CC	and
many	JJ	many
of	IN	of
medical	JJ	medical
personnel	NNS	personnel
now	RB	now
they	PP	they
couldn't	NN	couldn't
attend	VV	attend
the	DT	the
hospital	NN	hospital
and	CC	and
this	DT	this
put	VVP	put
a	DT	a
a	DT	a
lot	NN	lot
of	IN	of
pressure	NN	pressure
over	IN	over
our	PP$	our
heads	NNS	head
and	CC	and
over	IN	over
our	PP$	our
shoulders	NNS	shoulder
since	IN	since
we	PP	we
have	VHP	have
to	TO	to
compensate	VV	compensate
and	CC	and
more	RBR	more
more	RBR	more
more	RBR	more
more	RBR	more
and	CC	and
more	RBR	more
and	CC	and
more	RBR	more
uh	UH	uh
yes	UH	yes
uh	UH	uh
situation	NN	situation
uh	UH	uh
became	VVD	become
more	JJR	more
disaster	NN	disaster
and	CC	and
I'm	NN	I'm
asking	VVG	ask
uh	UH	uh
again	RB	again
as	IN	as
people	NNS	people
are	VBP	be
passing	VVG	pass
hundreds	NNS	hundred
per	IN	per
day	NN	day
they	PP	they
are	VBP	be
passing	VVG	pass
away	RB	away
and	CC	and
how	WRB	how
how	WRB	how
how	WRB	how
many	JJ	many
of	IN	of
us	PP	us
have	VHP	have
to	TO	to
die	VV	die
and	CC	and
uh	UH	uh
how	WRB	how
many	JJ	many
days	NNS	day
do	VVP	do
we	PP	we
have	VHP	have
to	TO	to
go	VV	go
with	IN	with
this	DT	this
horror	NN	horror
really	RB	really
I	PP	I
don't	VVD	don't
know	VV	know
it	PP	it
is	VBZ	be
an	DT	an
impossible	JJ	impossible
question	NN	question
to	TO	to
it	PP	it
is	VBZ	be
an	DT	an
impossible	JJ	impossible
question	NN	question
for	IN	for
you	PP	you
to	TO	to
have	VH	have
have	VH	have
to	TO	to
ask	VV	ask
